Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
0,0,0,0.130298,0.126207
5,45.4833,40.025,0.104022,0.105149
10,53.5833,51.725,0.102347,0.102757
15,55.4917,53.125,0.102071,0.102496
20,56.1417,54.275,0.101928,0.102332
25,56.65,55.65,0.101776,0.102233
30,57.0083,56.475,0.101688,0.102218
35,57.3417,57.2,0.101638,0.102224
40,57.5833,57.725,0.101604,0.102242
45,57.7667,58.075,0.101579,0.102268
50,57.8917,58.325,0.101557,0.102297
55,58.0583,58.6,0.101539,0.102326
60,58.2167,58.875,0.101522,0.102354
65,58.3333,59.025,0.101506,0.102381
70,58.4417,59.125,0.10149,0.102406
75,58.5167,59.175,0.101475,0.10243
80,58.5583,59.25,0.101461,0.102452
85,58.6583,59.425,0.101448,0.102473
90,58.7083,59.525,0.101436,0.102494
95,58.7917,59.65,0.101425,0.102514
